,original_title,genre_list,popularity,overview
42938,Unutursam Fısılda,"['Music', 'Drama']",1.012721,"Unutursam Fisilda tells the story of the two sisters Hatice and Hanife and how their lives change after they meet a boy named Tarik. A film full of beautiful music and the 70s fashion.  Directed by Çagan Irmak. With Farah Zeynep Abdullah, Kerem Bursin, Gözde Cigaci, Evren Duyal."
26275,Perkins' 14,"['Horror', 'Thriller']",1.18443,"Ronald Perkins builds an army of 14 people brainwashed through cult-like methods to protect him from his parents' killers. When Perkins is imprisoned, the police unwittingly unleash his followers on a small town and they've only got one thing on their mind: ""Kill for Mr. Perkins."""
23259,Liebe und andere Turbulenzen,"['Comedy', 'Romance']",2.476452,"Paolo, an Italian tour bus driver living in Paris, has just summoned up the courage to propose marriage to his German girlfriend Greta. However, a chance encounter with a French woman on a bicycle the very next day turns Paolo's life upside down."
43845,Somebody's Hero,"['Comedy', 'Family', 'Romance']",0.311896,"An average New York accountant tries to fill the boots of a movie-based superhero. Dennis, a lonely New York accountant accidentally stops a costume shop robbery while he’s trying on a “Man America” superhero outfit. The whole clumsy fight is captured on security cameras and when the video hits the news he becomes the center of a media-frenzy. Everyone wants to know “who is Man America?!” And “when is he coming back?!” The only person who knows his true identity convinces him that the people of New York have new hope and that they need him. Without any superpowers and armed with nothing but a silly costume he dives into the superhero business. At first things look up at work and with his new girlfriend, but not for long!"
1042,Willy Wonka & the Chocolate Factory,"['Family', 'Fantasy']",12.416635,Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?
38246,Chrome and Hot Leather,"['Action', 'Thriller']",0.209517,A Green Beret returns home from the Vietnam war to find that a gang of murderous bikers has killed his fiancee. He calls on several of his Green Beret buddies to come and help him take revenge on the gang.
35205,Rudolph's Shiny New Year,"['Animation', 'Fantasy']",1.402135,"Rudolph must find Happy, the baby new year, before the midnight of New Year's Eve."
8868,Ewoks: The Battle for Endor,['Adventure'],10.002017,"The army of the Marauders, led by by King Terak and the witch Charal attack the Ewoks village. The parents and the brother of Cindel all die in this attack. Cindel and the Ewok Wicket escape and in a forrest they meet Teek a naughty and very fast animal. Teek takes them to a house in which a old man, Noa, lives. Like Cindel he also crashed with his Starcruiser on Endor. Together they fight Terak and Charal."
21125,La migliore offerta,"['Drama', 'Romance', 'Crime', 'Mystery']",8.995603,"Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relationships. When appointed by the beautiful but emotionally damaged Claire to oversee the valuation and sale of her family’s priceless art collection, Virgil allows himself to form an attachment to her – and soon he is engulfed by a passion which will rock his bland existence to the core."
40023,Queen of Katwe,['Drama'],6.164561,A young girl overcomes her disadvantaged upbringing in the slums of Uganda to become a Chess master.
40179,Puppet on a Chain,['Thriller'],0.456717,Special agent Taube is on the case of a deadly heroin smuggling operation. This one is notable for an amazing power boat chase through the canals and waterways of Amsterdam
39183,The Hero of Color City,['Animation'],1.066926,An imaginative tale chronicling the adventures of a diverse band of crayons as they strive to protect not only their magical multihued homeland but the imagination of children everywhere from a terrifying monster.
41280,Collateral Beauty,"['Drama', 'Romance']",14.575883,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
2252,Kingu Kongu tai Gojira,"['Action', 'Adventure', 'Science Fiction']",2.894775,"After a 7 year hiatus, Godzilla returned to the screen to take on King Kong in the 3rd film in the Godzilla franchise. A pharmaceutical company captures King Kong and brings him to Japan, where he escapes from captivity and battles a recently revived Godzilla."
13892,Good Dick,"['Comedy', 'Drama', 'Romance']",3.161376,"A fidgety, wisecracking video store clerk develops a fixation on a particularly reclusive customer, a frequent visitor to the pornography section of Cinefile, the video store where he works in Los Angeles. After multiple failures to impress her during their brief daily transactions, he finds her street address in the store's database, drives to her apartment building and initiates an unconventional campaign to win her affections."
14496,The Princess and the Frog,"['Romance', 'Family', 'Animation', 'Music']",16.616517,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to do face the same problem after she kisses him."
2975,忠臣蔵 花の巻・雪の巻,"['History', 'Drama', 'Action']",5.127806,"The story tells of a group of samurai who were left leaderless (becoming ronin) after their daimyo (feudal lord) was forced to commit seppuku (ritual suicide) for assaulting a court official named Kira Yoshinaka, whose title was Kōzuke no suke. The ronin avenged their master's honor after patiently waiting and planning for over a year to kill Kira. In turn, the ronin were themselves forced to commit seppuku for committing the crime of murder."
26863,Women Aren't Funny,"['Comedy', 'Documentary']",0.388231,Comedian Bonnie McFarlane dons her investigative journalist's hat to find out once and for all if women are funny and report her unbiased findings in what some are calling the most important documentary of our generation.
